ai_review_row_id,cert_gsp_id,cert_company_name,cert_region,cert_sub_region,source_customer_id,source_customer_name,source_region,source_sub_region,mapped_customer_id,mapped_customer_name,mapped_region,mapped_sub_region,match_score,match_basis
1,A2018120503232,Thasaamah Technology W.L.L,中东北非区,Qatar Group,,Thasaamah Technology W.L.L,,,A2019102800032,TRAFFIC TECH (GULF) W.L.L,中东北非区,Qatar Group,0.4848,名称词元相似匹配
2,A2025091300123,PCS SOLUTION,中东北非区,Morocco Group,,PCS SOLUTION,,,A2022091600424,PCS INVEST,中东北非区,Morocco Group,0.85,名称标准化后包含匹配
3,A2026051000170,NetSec SK s. r. o.,东北欧区,Czech Group,,NetSec SK s. r. o.,,,A2025092500250,Mark2 Corporation Slovakia s.r.o.,东北欧区,Czech Group,0.5143,名称词元相似匹配
4,A2026050800314,Devjee International Trading Pty Ltd,非洲区,South Africa Group,,Devjee International Trading Pty Ltd,,,A2021031914418,MOTSHWANELO INFORMATION TECHNOLOGY CONSLUTING(PTY) LTD,非洲区,South Africa Group,0.5429,名称词元相似匹配
5,A2026051100080,almalath al arabia,中东北非区,Saudi Arabia Group,,almalath al arabia,,,A2023090200182,Al Malath Al Arabia Company,中东北非区,Saudi Arabia Group,0.973,名称词元相似匹配
6,A2018042500012,TransTelecom,欧亚区,Kazakhstan Group,,TransTelecom,,,A2018072100009,Kazakhtelecom JSC,欧亚区,Kazakhstan Group,0.5517,名称词元相似匹配
7,A2024050400050,Light Way,中东北非区,East Mediterranean Group,A2024050400050,Light Way,中东北非区,East Mediterranean Group,A2024050400050,Light Way,中东北非区,East Mediterranean Group,1.0,账号直接匹配
8,A2020091110682,Sanadc,中东北非区,Saudi Arabia Group,,Sanadc,,,A2021121517910,Atadtech,中东北非区,Saudi Arabia Group,0.5714,名称词元相似匹配
9,A2019092000032,NHA Electronics,中东北非区,Tunisia Group,A2019092000032,NHA Electronics,中东北非区,Tunisia Group,A2019092000032,NHA Electronics,中东北非区,Tunisia Group,1.0,账号直接匹配
10,A2023011500092,U2C Unified Communication Concept,中东北非区,Tunisia Group,A2023011500092,U2C Unified Communication Concept,中东北非区,Tunisia Group,A2023011500092,U2C Unified Communication Concept,中东北非区,Tunisia Group,1.0,账号直接匹配
11,A2023051700688,Inel security,中东北非区,Tunisia Group,,Inel security,,,A2020070200218,Ell Jaber Security,中东北非区,Tunisia Group,0.7097,名称词元相似匹配
12,A2021122226008,Espace telecom,中东北非区,Tunisia Group,,Espace telecom,,,A2023040200152,Giga Telecom & Technology,中东北非区,Tunisia Group,0.6923,名称词元相似匹配
13,A2026042200290,3S,中东北非区,Tunisia Group,,3S,,,A2021032921306,3S STANDARD Sharing Software,中东北非区,Tunisia Group,0.85,名称标准化后包含匹配
