ai_review_row_id,cert_gsp_id,cert_company_name,cert_region,cert_sub_region,source_customer_id,source_customer_name,source_region,source_sub_region,mapped_customer_id,mapped_customer_name,mapped_region,mapped_sub_region,match_score,match_basis
33,A2017111300008,TALENTECH - TECNOLOGIA LTDA,巴西区,Brazil Group,,TALENTECH - TECNOLOGIA LTDA,,,A2024100400348,AIDC TECNOLOGIA LTDA,巴西区,Brazil Group,0.8,名称词元相似匹配
34,A2025101200161,Sillis-Solucoes Integradas Logicas Lineares em Infraestrutura e Sistema LTDA,巴西区,Brazil Group,,Sillis-Solucoes Integradas Logicas Lineares em Infraestrutura e Sistema LTDA,,,A2024120500574,TELEFONICA INFRAESTRUTURA E SEGURANCA LTDA,巴西区,Brazil Group,0.5593,名称词元相似匹配
35,A2018092600060,"Compania Integra Soluciones, SA de CV",墨西哥区,Mexico Group,,"Compania Integra Soluciones, SA de CV",,,A2021112932360,"SYM Servicios Integrales, SA de CV",墨西哥区,Mexico Group,0.6377,名称词元相似匹配
36,A2023012000458,REDEPRIME LTDA,巴西区,Brazil Group,,REDEPRIME LTDA,,,A2023122200001,CONTROL - TELEINFORMATICA LTDA,巴西区,Brazil Group,0.4762,名称词元相似匹配
37,A2020102914392,AVANTIA TECNOLOGIA E ENGENHARIA S/A - SP,巴西区,Brazil Group,A2020102914392,AVANTIA TECNOLOGIA E ENGENHARIA S/A - SP,巴西区,Brazil Group,A2020102914392,AVANTIA TECNOLOGIA E ENGENHARIA S/A - SP,巴西区,Brazil Group,1.0,账号直接匹配
38,A2021082537292,Ac Solucoes Integradas de Informatica Ltda,巴西区,Brazil Group,,Ac Solucoes Integradas de Informatica Ltda,,,A2023122200001,CONTROL - TELEINFORMATICA LTDA,巴西区,Brazil Group,0.6571,名称词元相似匹配
39,A2025090300277,Eagle Digital Surveillance,非洲区,Kenya Group,,Eagle Digital Surveillance,,,A2020032100052,Top Choice Surveillance Limited,非洲区,Kenya Group,0.5714,名称词元相似匹配
40,A2021011408288,EBS Engineering Corporation,东南亚区,Vietnam Group,A2021011408288,EBS Engineering Corporation,东南亚区,Vietnam Group,A2021011408288,EBS Engineering Corporation,东南亚区,Vietnam Group,1.0,账号直接匹配
41,A2020062300153,SOFTNET TECHNOLOGIES LIMITED,非洲区,Tanzania Group,A2020062300153,SOFTNET TECHNOLOGIES LIMITED,非洲区,Tanzania Group,A2020062300153,SOFTNET TECHNOLOGIES LIMITED,非洲区,Tanzania Group,1.0,账号直接匹配
42,A2022020803252,Bilal camera,中东北非区,Pakistan Group,,Bilal camera,,,A2022082800198,Vital Tech International,中东北非区,Pakistan Group,0.4516,名称词元相似匹配
43,A2026031100265,Dahua Technology Tanzania,非洲区,Tanzania Group,,Dahua Technology Tanzania,,,A2019031100073,CITCC TANZANIA LIMITED,非洲区,Tanzania Group,0.6429,名称词元相似匹配
44,A2022011407266,INVENTIONS TECHNOLOGIES CO. LTD,非洲区,Tanzania Group,,INVENTIONS TECHNOLOGIES CO. LTD,,,A2021111008324,Emerging Communications Limited,非洲区,Tanzania Group,0.4848,名称词元相似匹配
45,A2025062500087,khadamat facility management llc,中东北非区,UAE Group,,khadamat facility management llc,,,A2018120502085,Emirates Photo Marketing LLC,中东北非区,UAE Group,0.4667,名称词元相似匹配
46,A2025101600154,PT. Mahira Mitra Mandiri,南洋区,Indonesia Group,,PT. Mahira Mitra Mandiri,,,A2022042310266,PT Elang Strategi Adidaya,南洋区,Indonesia Group,0.5,名称词元相似匹配
47,A2025042500273,SAO BENTO LIGHTING SOLUTIONS LTDA,巴西区,Brazil Group,,SAO BENTO LIGHTING SOLUTIONS LTDA,,,A2023122200001,CONTROL - TELEINFORMATICA LTDA,巴西区,Brazil Group,0.549,名称词元相似匹配
48,A2018072400032,V2 INTEGRADORA DE SOLUCOES E IMPORTACOES LTDA,巴西区,Brazil Group,,V2 INTEGRADORA DE SOLUCOES E IMPORTACOES LTDA,,,A2023120700724,3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.,巴西区,Brazil Group,0.4938,名称词元相似匹配
49,A2019061200036,LOGIC PRO SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA,巴西区,Brazil Group,,LOGIC PRO SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA,,,A2018021000003,MAHVLA TELECOMM CONSULTORIA E SERVICOS EM TECNOLOGIA LTDA,巴西区,Brazil Group,0.5741,名称词元相似匹配
